	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.f.1.SmLE.PZQ.ER.RNA.juv.f.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.juv.f.1.SmLE.PZQ.ES.RNA.juv.f.1_rsem.genes.results_Mean
gene:Smp_343420	0.905045581514557	0.0949544184854426	1.08224347521911	1.08741656092993	8.46213983626203	7.78107118712343
gene:Smp_343430	1	6.36085374962385e-17	0.971695560142762	0.971680418875741	890.135889030442	916.079150031822
gene:Smp_343440	0.995690314066607	0.00430968593339318	0.955955652189731	0.955944303401296	1818.09376636172	1901.88298674914
gene:Smp_343450	0.981245001177854	0.018754998822146	0.963700646047808	0.963665868327993	492.902307189554	511.487110554284
gene:Smp_343460	0.999999999999999	5.3543657281216e-16	0.977156787098678	0.975245865260838	5.70312564102593	5.8481387981562
gene:Smp_343470	0.809303781587033	0.190696218412967	1.05283566477902	1.05284561506889	2739.68066319632	2602.16701815385
gene:Smp_343480	0.999999999999998	1.7458736463422e-15	1.6730611959928	1.9202990515305	2.55185087357502	1.32408953752969
gene:Smp_343490	1	2.48583915688512e-16	1.03724388234031	1.03791213459442	28.3378741762445	27.3024026893873
gene:Smp_343500	1	1.08736843351068e-16	0.987028881620351	0.98698245315166	135.118790045946	136.901035869431
gene:Smp_343510	0.999999999999999	1.39530898805039e-15	0.993572473686683	0.990920402201068	1.16690877446068	1.17769254507879
gene:Smp_343520	0.956769038260365	0.0432309617396348	0.835292532916706	0.835159788744614	507.813500112658	608.045496632569
gene:Smp_343530	0.980019265775765	0.0199807342242351	1.01870438072894	1.01873139678611	345.631954139883	339.276641434938
gene:Smp_343540	0.990450478010321	0.0095495219896785	1.02510483053522	1.02510654698222	7347.51879457145	7167.56571805741
gene:Smp_343550	1	6.01996478255871e-17	1.0033928544466	1.00339683077872	419.556394007953	418.136022727951
gene:Smp_343560	0.917131924830625	0.0828680751693746	0.892175154008572	0.891915238660605	181.314253696505	203.287629457258
gene:Smp_343570	0.000123999016840348	0.99987600098316	1.28240411177579	1.28251470163056	1604.94726696427	1251.40432291089
gene:Smp_343580	0.887702825674673	0.112297174325327	0.923110913008306	0.923076599480185	1013.62702195059	1098.09715873569
gene:Smp_343590	0.960925401214404	0.0390745987855962	1.08066443287143	1.08127509105375	69.9847547036412	64.7235310715689
gene:Smp_343600	0.985960165419408	0.0140398345805921	0.909559103071207	0.909421662188794	293.254580860352	322.463713848562
gene:Smp_343610	0.999999999999999	5.34649747529039e-16	0.957513042277908	0.957502762404277	1939.32701749166	2025.40140729664
gene:Smp_343620	1	1.1664725269867e-16	0.967287533466132	0.967257243676417	511.912734719135	529.24190073882
gene:Smp_343630	1	3.24481598180935e-17	1.01694859533156	1.01695227279864	2296.83073526178	2258.54312653061
gene:Smp_343640	0.986720784521574	0.0132792154784261	1.10091609861784	1.10097826456917	875.844583514988	795.513955105259
gene:Smp_343650	0.997096431568955	0.00290356843104496	0.955219701928325	0.955215088097961	4543.29533109778	4756.30654870996
gene:Smp_343660	0.999999999999994	6.17348470228137e-15	2.28631679604465	65.3229970968383	0.643229970968383	0
gene:Smp_343670	0.0107472791076219	0.989252720892378	0.473737342987362	0.46662595200872	16.9124126087227	36.2554767397216
gene:Smp_343680	0.954873409416497	0.0451265905835026	0.945053346705913	0.945037486912725	1604.48421311419	1697.8001242902
gene:Smp_343690	0.999999999999996	3.7744107192173e-15	0.587964364450955	0.574126631095648	8.36766338080284	14.5820132024099
gene:Smp_343700	0.992761961495173	0.00723803850482664	1.02110359781043	1.02110592895458	4530.0459074894	4436.41111854869
gene:Smp_343710	0.951278685663836	0.0487213143361639	1.09960878297778	1.10043554065582	64.9624732120479	59.0325070907165
gene:Smp_343720	0.846308862584859	0.153691137415141	0.863275400701638	0.863080774098601	297.116435135134	344.252604442153
gene:Smp_343730	0.295411904431884	0.704588095568116	0.870103444591457	0.870070083098635	1660.15704320159	1908.07427441745
gene:Smp_343740	0.000582281928900641	0.999417718071099	1.22936737899712	1.22937053088916	43841.8035426468	35661.991358482
gene:Smp_343750	0.201325468074767	0.798674531925233	0.820811502642154	0.82066912215901	506.132903333019	616.734178215773
gene:Smp_343760	0.0908367950778303	0.90916320492217	0.8324360976667	0.832356948191349	863.539879814659	1037.46542648751
gene:Smp_343770	0.999999999999999	1.13025683362005e-15	0.908667808252016	0.908548668626766	341.309609227062	375.665647340888
gene:Smp_343780	1	2.85734743047776e-16	1.05921839807313	1.06057935936704	22.6051485741095	21.3133911959274
gene:Smp_343790	0.000881017315702226	0.999118982684298	0.811422192378512	0.811340234559355	914.837267937568	1127.56537339983
gene:Smp_343800	0.961537903847061	0.0384620961529394	1.09609638293138	1.0966056452993	101.395457033547	92.4621274856015
gene:Smp_343810	0.999999999999999	7.24499507152433e-16	1.23251092458401	1.23472932515104	63.4091696988785	51.3528115952627
gene:Smp_343820	1	2.33241247817602e-16	0.934926759878766	0.93412490700701	37.1399375568183	39.7597751961768
gene:Smp_343830	0.97910638692438	0.0208936130756199	1.04000413139554	1.04013412637097	156.850291527177	150.797754067701
gene:Smp_343840	0.828297830133525	0.171702169866475	0.806114640306402	0.805399022242189	106.925083591416	132.762800361384
gene:Smp_343850	0.999999999999915	8.51846514962523e-14	0.668791088301146	0.666337397297274	44.067984165381	66.1396478273099
gene:Smp_343860	0.957409804515595	0.0425901954844054	1.13391802180191	1.13415721396687	311.169320863723	274.360534377092
gene:Smp_343870	0.839374335671908	0.160625664328092	0.573127486464098	0.531707891659595	2.67541150314484	5.04053911229903
gene:Smp_343880	1	9.61746185407571e-17	0.952969573382428	0.952876902979435	236.974564589858	248.694280530738
gene:Smp_343890	1	7.51221132041771e-17	1.02084598102541	1.02085944462229	774.581243059654	758.753850537965
gene:Smp_343900	0.999999999999998	1.52341333435117e-15	0.772702448022242	0.688850852259905	0.905069372714534	1.31839985566175
gene:Smp_343910	0.999999999999848	1.5247546706458e-13	1.09632220624541	1.09636445020442	1225.063505048	1117.38623153559
gene:Smp_343920	0.0160702058624757	0.983929794137524	0.635361137761501	0.634427946422644	121.474243067098	191.476273188488
gene:Smp_343930	0.999999999999996	4.10462625841223e-15	0.800616315749197	0.79966005601804	81.697993455905	102.168410489547
gene:Smp_343940	1	1.34305324044728e-16	1.0613077576969	1.06156237208862	125.253168820786	117.988877988046
gene:Smp_343950	3.39191376543813e-05	0.999966080862346	0.685294745843227	0.685152631858201	743.5224029773	1085.19695740563
gene:Smp_343960	1	4.63672006405377e-16	1.16287213879044	1.1644240336457	59.8781724187008	51.4215839318401
gene:Smp_343970	0.973199721870467	0.026800278129533	0.948838434658129	0.94876292921142	315.032135793212	332.045697048645
gene:Smp_343980	0.59196482517144	0.40803517482856	3.25646294685968	4.33030760236182	4.44913773584111	1.01975080417129
gene:Smp_343990	0.931499028984956	0.0685009710150439	0.838934504376541	0.838874098726307	1096.13278171335	1306.67330727777
gene:Smp_344000	0.999999999999998	2.2705335559326e-15	1.54363261521358	1.57207055504331	14.7173565127473	9.35812693647936
gene:Smp_344010	0.0897233162036039	0.910276683796396	0.748843346991593	0.748403933936782	209.619880334996	280.092590097694
gene:Smp_344020	1	7.76955439061169e-17	1.03111546093181	1.03115494703313	398.190046452241	386.158972566105
gene:Smp_344030	0.505241091345509	0.494758908654491	1.06483740957511	1.06485016729161	2652.06990632876	2490.55626724695
