	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.m.1.SmLE.PZQ.ER.RNA.juv.m.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ER.RNA.adu.m.1.SmLE.PZQ.ER.RNA.adu.m.1_rsem.genes.results_Mean
gene:Smp_174580	0.502913392927253	0.497086607072747	1.08860956934993	1.08863137894012	2348.1888425477	2157.00925185537
gene:Smp_174610	0.633777049408662	0.366222950591338	1.03977696280844	1.04178045602069	10.9709736667775	10.5305832901892
gene:Smp_174630	1	1.56800449959109e-17	1.00278901924651	1.00279380193482	310.454518483656	309.589558637716
gene:Smp_174660	0	1	0.599205842334421	0.598885570673203	397.884210230854	664.38104516007
gene:Smp_174670	0.170401732879592	0.829598267120408	0.822620036528888	0.822557425058548	1237.18394524146	1504.07215590954
gene:Smp_174680	0.999995888732139	4.11126786097458e-06	0.664453618142443	0.663691032031148	155.032412948069	233.596309962605
gene:Smp_174690	1.02024377834908e-08	0.999999989797562	2.24434648769291	2.24666816018232	639.283372311635	284.541756971424
gene:Smp_174700	0.417407023814319	0.582592976185681	0.726051554500378	0.725204638877163	124.530375232088	171.721354924749
gene:Smp_174710	0.99999999999728	2.72020926827675e-12	0.792048806660356	0.791701140446077	251.399161368543	317.545638769054
gene:Smp_174720	0.00806430692101612	0.991935693078984	0.698142019014186	0.69804211725866	1119.76836040788	1604.16019649969
gene:Smp_174780	1	5.46612854656016e-17	1.09028393047275	1.09084654194677	92.926525565673	85.186699986613
gene:Smp_174800	0.924697426293079	0.0753025737069214	1.05830803897028	1.05836397419245	585.722088495471	553.42161972458
gene:Smp_174810	0	1	0.479409968889949	0.478955622455842	291.346626426743	608.306538665552
gene:Smp_174850	0.0306279460848381	0.969372053915162	0.753880643747232	0.75380037092267	1227.01799954286	1627.77906309232
gene:Smp_174870	0.000118029781831064	0.999881970218169	0.67458188306858	0.674121479415318	252.955929352972	375.242735712227
gene:Smp_174880	0.76365504923696	0.23634495076304	0.818461722413142	0.818209506982779	312.656951692441	382.125564331718
gene:Smp_174890	0.0523901130167918	0.947609886983208	1.35269133168171	1.35289869121847	1221.66855096044	902.998154927076
gene:Smp_174920	0.999999999999999	7.6466292747656e-16	1.1167627178475	1.11704159230182	248.295138125327	222.278176050508
gene:Smp_174950	0.981681854846619	0.0183181451533808	0.927758573796185	0.927751553407338	5068.46996862399	5463.17672279131
gene:Smp_174960	5.7708193779149e-10	0.999999999422918	1.75993248032656	1.76023556473692	2343.15623618487	1331.15628428938
gene:Smp_174990	0.0229732660351678	0.977026733964832	1.10073788470669	1.10077577068501	1553.92941695319	1411.66661783305
gene:Smp_175020	0.42870976964856	0.57129023035144	0.865616883399572	0.865351771736135	232.868535859465	269.104299485683
gene:Smp_175080	0.999999999999999	9.12312572018533e-16	1.31039533033084	1.93294279530237	0.501661349458129	0.25470589336716
gene:Smp_175090	0.983233229726074	0.0167667702739261	1.17912585745131	1.17913802345768	9217.12158195232	7816.82857070795
gene:Smp_175200	0	1	2.35642585306109	2.35951582471057	549.892075432779	233.047167777306
gene:Smp_175210	1	1.09643441735968e-16	0.944928722632034	0.944902502733458	1053.65375859108	1115.09315142884
gene:Smp_175230	0.999999999470713	5.29287399274471e-10	2.14659075345557	2.17547130912697	45.843991982757	21.0677277504793
