	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ES.RNA.juv.f.1.SmLE.PZQ.ES.RNA.juv.f.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.f.1.SmLE.PZQ.ES.RNA.adu.f.1_rsem.isoforms.results_Mean
transcript:Smp_043150.1	0.823496147328051	0.176503852671949	0.87471902790373	0.874714427915496	10282.835822864	11755.6504700904
transcript:Smp_043170.1	0.000509188738209376	0.999490811261791	1.26987336051903	1.27002746370898	960.009691279929	755.894670341769
transcript:Smp_043200.1	0	1	0.412990609574079	0.412302522224919	151.812489156135	368.220803772073
transcript:Smp_043200.2	0	1	0.412990609574079	0.412302522224919	151.812489156135	368.220803772073
transcript:Smp_043210.1	1.14352971536391e-14	0.999999999999989	1.55454857339964	1.55481469786189	1398.45651898502	899.432564382832
transcript:Smp_043220.1	0	1	1.95541895936953	1.95558671533902	4807.40473998483	2458.28791247657
transcript:Smp_043250.1	0.331609092575359	0.668390907424641	0.999639979491479	0.999583000765652	2.71616419742858	2.7173014800576
transcript:Smp_043260.1	0	1	23.682557566297	28.0506368422715	62.8628107401664	2.23140403990468
transcript:Smp_043270.1	0.999999999994356	5.64369314437424e-12	2.80189090550426	3.36467962630889	4.63991985168976	1.37197997079169
transcript:Smp_043290.1	0.000887844781378933	0.999112155218621	2.36101631460025	2.39225584091916	44.9768054908674	18.7951815869253
transcript:Smp_043300.1	2.3505867841056e-07	0.999999764941322	9.0965407378933	11.5590278198548	16.3945942795601	1.40920190306854
transcript:Smp_043320.1	0.999999999994753	5.24738907127132e-12	2.01819474111143	45.9672445542679	0.449672445542679	0
transcript:Smp_043340.1	0.179365924207005	0.820634075792995	0.427408275842116	0.278461870846685	0.452061111288372	1.64933350186666
transcript:Smp_043350.1	0.0355619934725241	0.964438006527476	0.772065185637342	0.771942819875245	620.651085554137	804.014688842164
transcript:Smp_043360.1	0.00109200920720909	0.998907990792791	9.90426276960426	12.6734376028632	17.5797903450488	1.37792574645059
transcript:Smp_043360.2	7.19934112325404e-11	0.999999999928007	2.78735607713338	2.80737421105648	108.184812186924	38.5295049084701
transcript:Smp_043390.1	0	1	4.78153046037051	4.78464441118396	2507.97053832772	524.162816785589
transcript:Smp_043500.1	0	1	0.565407181188584	0.565304443755369	1032.16865640339	1825.87102358888
transcript:Smp_043570.1	0	1	5.26606435053983	5.29029282062969	402.05823390866	75.9911302854126
transcript:Smp_043570.2	0.999999999436479	5.63521065938053e-10	3.58412142131627	4.01405853994953	10.4038259969075	2.58433834690374
transcript:Smp_043580.1	3.14536753839301e-05	0.999968546324616	0.594143881030332	0.593808446056486	310.109279979984	522.244747367612
transcript:Smp_043600.1	0	1	0.480293268986946	0.480174117247574	904.004386963432	1882.67037466361
transcript:Smp_043610.1	1.02444719374262e-11	0.999999999989756	0.302189154681668	0.301484611990522	128.878506607799	427.502720323687
transcript:Smp_043610.2	0	1	0.527746201742476	0.527546159778112	537.558058093962	1018.98719698474
transcript:Smp_043650.1	0	1	5.08227667053652	5.09573756196653	667.033731252005	130.892292973381
transcript:Smp_043670.1	1.91793136927743e-10	0.999999999808207	0.32442926534106	0.324307402699278	776.01505216542	2392.85875879614
transcript:Smp_043670.2	0	1	15.9444449223395	15.9628504888564	5594.46948611001	350.458701690559
transcript:Smp_043780.1	0	1	0.56156661023667	0.561407751200063	668.778415360101	1191.26036263839
transcript:Smp_043910.1	0	1	8.18530436739254	8.45808028412759	96.1577796319058	11.3599298660447
transcript:Smp_043940.1	0	1	0.513452341459334	0.513047346155297	266.032784819305	518.544060971159
transcript:Smp_043940.2	0	1	0.520195203682505	0.519970022077486	478.210975471948	919.698743133432
