	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.adu.f.1.SmLE.PZQ.ER.RNA.adu.f.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.f.1.SmLE.PZQ.ES.RNA.adu.f.1_rsem.genes.results_Mean
gene:Smp_052060	0.935533425337613	0.0644665746623874	1.08463912551075	1.08469529999593	872.737003548302	804.591074192519
gene:Smp_052140	0.960631527551299	0.0393684724487014	0.838065810664728	0.837839287534061	319.831827988308	381.736037393007
gene:Smp_052150	0.924082161494597	0.0759178385054033	0.826882797543466	0.825886395977975	76.6157393497261	92.7699994319916
gene:Smp_052160	0.964396104424639	0.0356038955753613	0.920875759570311	0.920447456027894	90.7940942246947	98.6421214546579
gene:Smp_052230	0.961202113524194	0.0387978864758055	1.11368437996191	1.11472863295119	64.7956346772952	58.1257944540506
gene:Smp_052280	0.985473213931891	0.0145267860681087	1.04774563997027	1.04775770112755	2214.89009135108	2113.93303183599
gene:Smp_052290	1	4.64168359031053e-17	1.78358539775089	2.19140331245751	2.23848963418131	1.01605012112525
gene:Smp_052330	0.990917242279056	0.00908275772094382	1.01532384404159	1.01533268666843	939.590705434464	925.401658436343
gene:Smp_052350	0.996152295748531	0.00384770425146928	1.01561887718778	1.01563777168518	448.324181719365	441.421181685451
gene:Smp_052390	0.97878588116871	0.0212141188312896	1.05183143999746	1.05199325556486	179.932798819064	171.039384458692
gene:Smp_052460	1	1.58255693156347e-16	0.380017495909359	0.0111417180245025	0	0.887527650404392
gene:Smp_052500	0.872999924848464	0.127000075151536	0.764597521922446	0.764458925198175	693.353157580367	906.988577327908
gene:Smp_052630	1	1.78991322170079e-17	0.962880063412872	0.957079421573537	3.26060197498702	3.40727332263587
gene:Smp_052640	0.987813885031981	0.0121861149680189	1.00117386172939	1.00117477966138	683.688897630775	682.88664454194
gene:Smp_052710	0.999999999999973	2.69967090781368e-14	0.865858152597133	0.86574675274541	556.687259088306	643.01552371457
gene:Smp_052740	0.764227841786655	0.235772158213345	1.16327719416675	1.16350031945013	454.655280823076	390.763662217773
gene:Smp_052750	0.25075156773901	0.74924843226099	0.824983158087997	0.824832106890693	510.34193995081	618.724328704353
gene:Smp_052760	3.59968938801192e-06	0.999996400310612	0.700978998514005	0.700471882097484	220.553309676196	314.868177573301
gene:Smp_052780	0.924966385805457	0.0750336141945433	0.868941009127777	0.868573191620045	165.258233263416	190.265540228407
gene:Smp_052790	0.990412793431893	0.00958720656810744	1.01520092553776	1.01521246380535	714.21476864404	703.512458704742
gene:Smp_052800	0.984426775196788	0.015573224803212	0.990806032196446	0.990795382882787	456.777147004241	461.020758616565
gene:Smp_052870	0.989298558778815	0.0107014412211846	1.04872481838285	1.04873812567538	2050.56719439338	1955.27048822753
gene:Smp_052890	0.974650130006379	0.0253498699936212	1.06506327268021	1.06509871706561	1044.05336531721	980.240326649196
gene:Smp_052910	0.985199387757544	0.0148006122424556	1.05860042265907	1.0586209992216	1609.95698466364	1520.80527368855
gene:Smp_053020	1.75724590167903e-06	0.999998242754098	0.80510062631349	0.804951584711656	562.099901060278	698.305167938495
gene:Smp_053030	0.993026331255821	0.00697366874417899	0.972910267101182	0.972903639705052	2123.62640934937	2182.77185288029
gene:Smp_053040	0.973162572556771	0.0268374274432291	0.911095716601066	0.911027632313874	635.256394530779	697.297493206652
