	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ES.RNA.juv.m.1.SmLE.PZQ.ES.RNA.juv.m.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.m.1.SmLE.PZQ.ES.RNA.adu.m.1_rsem.isoforms.results_Mean
transcript:Smp_002060.1	0.839245765133992	0.160754234866008	0.511039245738254	0.475725063594903	3.45683329083015	7.27747244181838
transcript:Smp_002070.1	0.999999999999995	5.25892730129458e-15	0.589920595275266	0.0261218580303786	0	0.372821160285399
transcript:Smp_002080.1	0.139425709947866	0.860574290052134	1.18444450703134	1.18452685202612	1396.44037007201	1178.89984715407
transcript:Smp_002100.1	0	1	0.392487334476179	0.392445539226837	3002.33011332411	7650.32568540253
transcript:Smp_002160.1	0.00139291191315516	0.998607088086845	1.37646268085064	1.37714167370427	401.861699538058	291.80580022707
transcript:Smp_002180.1	0	1	0.655066153596488	0.654995178171892	1675.38799187052	2557.86835957296
transcript:Smp_002230.1	0.707679923233331	0.292320076766669	0.72901196292553	0.728162599180323	122.264766962601	167.912339186663
transcript:Smp_002280.1	4.006813547619e-09	0.999999995993186	1.23488193658347	1.23494973915634	2251.6603197803	1823.27903629596
transcript:Smp_002380.1	0	1	0.662197846166583	0.662100077132745	1204.01860516782	1818.48941836878
transcript:Smp_002410.1	7.10198566622466e-12	0.999999999992898	1.46571142138368	1.46577975553881	5257.73906200648	3586.98800712815
transcript:Smp_002510.1	0.0751202617934107	0.924879738206589	1.12870230831939	1.12879803162498	798.787997910825	707.643606341697
transcript:Smp_002550.1	0	1	0.503379438034656	0.503109539581989	487.22550740387	968.438159040458
transcript:Smp_002600.1	3.33066907387547e-16	1	2.95449743724527	2.95567926478226	2572.69731203375	870.41844691854
transcript:Smp_002600.2	0.0408663229642735	0.959133677035726	0.527305408878578	0.527217468748718	1491.53169261049	2829.0724584217
transcript:Smp_002630.1	0.999999999999998	2.35556523169908e-15	2.04278050984419	56.9266826126418	0.559266826126418	0
transcript:Smp_002640.1	5.55111512312578e-15	0.999999999999994	0.716549622811673	0.716368046480894	588.570791988837	821.607874890146
transcript:Smp_002740.1	0.999999999055368	9.446322754086e-10	1.20565502209048	1.20581840844914	798.825783843311	662.474316250184
transcript:Smp_002820.1	0.146697161026257	0.853302838973743	1.28854961964659	1.28897334141399	461.983368884717	358.409646117674
transcript:Smp_002840.1	4.35197577249857e-05	0.999956480242275	1.25985482986466	1.26013535570753	614.356023655464	487.529708232785
transcript:Smp_002840.2	4.35197577249857e-05	0.999956480242275	1.25985482986466	1.26013535570753	614.356023655464	487.529708232785
transcript:Smp_002870.1	2.17351630971141e-06	0.99999782648369	1.30786870525706	1.30830016773117	491.329849521289	375.545901955865
transcript:Smp_002880.1	4.44089209850063e-16	1	1.3664786490041	1.36651643985226	6974.7452933814	5104.03052960789
transcript:Smp_002920.1	0.999613131856433	0.000386868143566857	0.697463318183522	0.69701691914702	248.618085917145	356.693085803721
transcript:Smp_002950.1	0.0029164345653756	0.997083565434624	0.695573851504881	0.694603786272635	114.718214728818	165.160730416645
transcript:Smp_003000.1	0.00275311314691296	0.997246886853087	0.785718440182436	0.785486708693589	382.277997993058	486.679327472993
transcript:Smp_003130.1	0	1	0.63217520265916	0.631929961560853	498.838619304041	789.394917709387
transcript:Smp_003140.1	2.25050936599747e-05	0.99997749490634	3.9776886459603	4.04578469849494	93.1034013059512	23.0049175611322
transcript:Smp_003140.2	0.00046617576745922	0.999533824232541	1.28146603619565	1.28162470479617	1196.58711613417	933.646406322532
