	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.f.1.SmLE.PZQ.ER.RNA.juv.f.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.juv.f.1.SmLE.PZQ.ES.RNA.juv.f.1_rsem.isoforms.results_Mean
transcript:Smp_343410.2	1	2.06990153575876e-16	4.58358755331411	199.010730702143	1.98010730702143	0
transcript:Smp_343420.1	0.930491682469377	0.0695083175306231	1.0818128753895	1.08752707485886	8.43783092477739	7.75792699701175
transcript:Smp_343430.1	0.999999999998589	1.41137913141212e-12	0.0544810500752924	0.00104172209444135	0	9.5894892048083
transcript:Smp_343430.2	0.987696128387506	0.0123038716124939	0.99679733866172	0.996794044828388	525.830106229507	527.521348083082
transcript:Smp_343430.3	0.97868029948925	0.0213197005107505	0.961250101987466	0.961194372113591	362.594006365947	377.233164219334
transcript:Smp_343440.1	1	1.41036677292864e-17	0.956068255985485	0.95605569827053	1814.62754933181	1898.03584880821
transcript:Smp_343450.1	0.985473850669594	0.0145261493304059	0.963817230992735	0.963778769733813	491.910061997395	510.397655206244
transcript:Smp_343460.1	1	1.13304642889446e-17	0.977225102168838	0.975110782002378	5.68873574872754	5.83419314595748
transcript:Smp_343470.1	0.705704014635179	0.294295985364821	0.80742000392581	0.806966393665955	185.86570496401	230.328842389207
transcript:Smp_343470.2	0.259415419740238	0.740584580259762	1.76190011252319	1.77203055023126	72.296927481604	40.7945603232785
transcript:Smp_343470.3	0.794712542842848	0.205287457157152	1.06473407581903	1.06474917573648	2476.52555225616	2325.92328897687
transcript:Smp_343480.1	1	3.75667496059513e-17	1.65575560760492	1.92360802996544	2.54506463819735	1.31826677701239
transcript:Smp_343490.1	1	5.20949993865304e-18	1.03651304902119	1.03723944662347	28.2773066423726	27.2617227776638
transcript:Smp_343500.1	0.908015147442803	0.0919848525571968	0.61197513614003	0.604287505741925	16.5381538535323	27.3745705831946
transcript:Smp_343500.2	0.985199425166661	0.0148005748333389	1.08253708850889	1.08294694322496	118.311935026533	109.249216960506
transcript:Smp_343510.1	1	3.08346995844173e-17	0.991944876050582	0.988263669416686	1.16325857496886	1.17719185099799
transcript:Smp_343520.1	0.960792908004237	0.0392070919957635	0.834919697858889	0.834772140161748	506.677520610758	606.96703748544
transcript:Smp_343530.1	0.9838715446905	0.0161284553095003	1.01889296421891	1.01892323065061	345.0695469057	338.660801219596
transcript:Smp_343540.1	0.988002985125711	0.0119970148742886	1.02343577514481	1.02344398063033	1585.89800066952	1549.56968455955
transcript:Smp_343540.2	0.980182904560255	0.019817095439745	1.06688345429632	1.06695237263351	561.771991195008	526.51958614112
transcript:Smp_343540.3	6.60406009878045e-08	0.999999933959399	0.793774252724997	0.793727364429068	1894.02790047678	2386.24753042944
transcript:Smp_343540.4	0.689348134727318	0.310651865272682	1.22336418408464	1.22340924092269	3290.50183505763	2689.61480010037
transcript:Smp_343540.6	0.867691781762134	0.132308218237866	1.20345549039697	1.27588434186035	1.93450022893264	1.51404114161116
transcript:Smp_343550.1	1	1.25802110066174e-18	1.00356133131562	1.00356596185302	418.75056960178	417.262591458328
transcript:Smp_343560.1	0.941672428240917	0.0583275717590831	0.574400929907992	0.570015838828061	30.00565679258	52.6475837862532
transcript:Smp_343560.2	0.985544992578352	0.0144550074216478	1.00511200188924	1.00513046242015	151.000842091313	150.230041205904
transcript:Smp_343570.1	0.0039215451554665	0.996078454844534	1.23848463173753	1.23866340094004	896.5097801052	723.769986899442
transcript:Smp_343570.2	0.000158121171920045	0.99984187882808	1.34316639686139	1.3435208762468	705.652542521311	525.223775669058
transcript:Smp_343580.1	0.905981037148905	0.0940189628510954	0.92333757496435	0.923299617674688	1011.72992882775	1095.77722817605
transcript:Smp_343590.1	0.973075466575731	0.0269245334242689	1.08049119063116	1.08116721241854	69.8324395659972	64.5891098913937
transcript:Smp_343600.1	0.996255735795799	0.00374426420420066	0.909503452630631	0.909350899187868	292.661459367498	321.836560693875
transcript:Smp_343610.1	1	1.10199461092536e-17	0.957571176931345	0.95755978931018	1935.66637707403	2021.45790068167
transcript:Smp_343620.1	1	2.42877525397439e-18	0.967328917812873	0.967295360290824	510.932014568778	528.207166693698
transcript:Smp_343630.1	0.999652321286966	0.000347678713033588	1.01698228075032	1.01698636801977	2292.52911414543	2254.23763422282
transcript:Smp_343640.1	0.987475825135081	0.0125241748649193	1.10103257868342	1.10110163552876	874.00922567629	793.75798423933
transcript:Smp_343650.1	0.996916666273376	0.00308333372662355	0.955347403707758	0.955342299126558	4534.02096214144	4745.96530778945
transcript:Smp_343660.1	1	1.46942665649566e-16	2.16030550731656	65.112551437176	0.64112551437176	0
transcript:Smp_343670.1	0.0173711505721128	0.982628849427887	0.474057409489972	0.466175545201262	16.8670971772127	36.1933087126575
transcript:Smp_343680.1	0.988529341979917	0.0114706580200829	0.974220896284781	0.974207354451321	1006.18145417467	1032.82089537069
transcript:Smp_343680.2	0.999999999956865	4.31353700444351e-11	0.807035662761538	0.806823348602931	397.836396031971	493.092234486482
transcript:Smp_343680.3	0.921567670002208	0.0784323299977919	1.17412022056109	1.17468539610879	196.337913080455	167.139360782783
transcript:Smp_343680.4	0.879506010947043	0.120493989052957	0.824425151315177	0.75285650950384	0.992052815134487	1.32100106392767
transcript:Smp_343690.1	1	7.88105144658452e-17	0.589306571437726	0.574006564341931	8.34952990896236	14.5534744065099
transcript:Smp_343700.1	1	1.44551623429222e-18	0.976379409288515	0.976349365163272	416.45193636211	426.540117428987
transcript:Smp_343700.2	0.993619453368301	0.00638054663169903	1.02583489959305	1.02583840219334	4105.18722598575	4001.78718092874
transcript:Smp_343710.1	0.96102205410616	0.0389779458938402	1.10051072482569	1.10143692644166	64.8393127932415	58.8670098735894
