	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.f.1.SmLE.PZQ.ER.RNA.juv.f.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ER.RNA.adu.f.1.SmLE.PZQ.ER.RNA.adu.f.1_rsem.isoforms.results_Mean
transcript:Smp_155210.1	0.0972076832135622	0.902792316786438	0.645300808917811	0.644309251536502	112.690591954783	174.906923334599
transcript:Smp_155290.1	0.0180132388551916	0.981986761144808	47.3196661368675	2312.25029089975	23.1125029089975	0
transcript:Smp_155290.2	9.38007909123684e-08	0.999999906199209	12.6809112437256	13.1487179561399	160.529966592432	12.1995528345762
transcript:Smp_155290.3	1.23350480274453e-07	0.99999987664952	4.6268341900115	4.66535410845642	214.781177500571	46.0296301132299
transcript:Smp_155290.4	0	1	326.134531309352	16224.503810452	162.23503810452	0
transcript:Smp_155290.5	3.50387885372783e-09	0.999999996496121	61.7414188714327	3031.86429037384	30.3086429037384	0
transcript:Smp_155310.1	0	1	0.0142449810813615	0.0142345790087667	659.593919303607	46338.130305897
transcript:Smp_155320.1	2.45960918299204e-10	0.999999999754039	2.15473111761714	2.15959511115299	250.687324724466	116.075336288162
transcript:Smp_155330.1	0	1	2.6578283522486	2.65999730399939	994.159308512315	373.738239149548
transcript:Smp_155340.1	0	1	10.5094059309233	11.368734557077	61.5070806439742	5.40107546623822
transcript:Smp_155360.1	1.26122023935693e-09	0.99999999873878	1.82707686728572	1.83155868353352	165.263090853082	90.2263065617042
transcript:Smp_155370.1	2.92432744686266e-13	0.999999999999708	0.0951176508148389	0.0923646584333146	14.8350757995758	160.712467352528
transcript:Smp_155370.2	0.999999808510934	1.91489066399757e-07	1.37510114128576	1.37596067219626	293.607807089489	213.381133207918
transcript:Smp_155370.3	1.73301284911442e-06	0.999998266987151	2.84397153194562	2.86782133303407	108.410405012739	37.7958436778674
transcript:Smp_155380.1	0.999999999995058	4.94202345823473e-12	0.374918884935201	0.353834697674346	5.11943363683115	14.4866948423811
transcript:Smp_155390.1	0	1	0.382688693221764	0.381750523245535	122.816429106606	321.735280300784
transcript:Smp_155400.1	0.166040498978692	0.833959501021308	1.26489522733959	1.2655292461917	258.533504810148	204.286744297432
transcript:Smp_155420.1	0	1	0.267390993671198	0.266383766028314	94.7318487744839	355.64924375592
transcript:Smp_155420.2	0.0589269074164912	0.941073092583509	0.747695365205838	0.747412404500361	325.863379040868	435.992101488684
transcript:Smp_155420.3	0.210077611955203	0.789922388044797	0.362979127598452	0.36072631312511	49.8664507925234	138.256738460038
transcript:Smp_155420.4	0.00356222238987125	0.996437777610129	0.334776647378308	0.333343950393631	75.6724532516375	227.030128258717
transcript:Smp_155450.1	0.999999999999945	5.47213695311011e-14	2.41312092171211	71.5116511792868	0.705116511792868	0
transcript:Smp_155450.2	0	1	15.1998664603682	15.3460010378163	729.13848688196	47.503908352095
transcript:Smp_155480.1	0.999999999999999	1.2120467842165e-15	0.952239970680722	0.95214576189364	236.019395739271	247.882082478898
transcript:Smp_155500.1	2.72004641033163e-12	0.99999999999728	0.42898125167558	0.427091618884618	63.0978644006709	147.751889042641
transcript:Smp_155510.1	0	1	0.541511924563609	0.541340039336818	706.062223790395	1304.29445280823
transcript:Smp_155520.2	0.99999999999992	8.01497942132986e-14	1.90733750431371	46.2741620501508	0.452741620501508	0
transcript:Smp_155530.1	0.0558346866280747	0.944165313371925	2.67975054664177	2.75923679166336	28.5022352622649	10.3233774572775
transcript:Smp_155530.2	0.00035729963246145	0.999642700367539	0.333404551025779	0.326287675578859	14.933871783752	45.7896820052747
transcript:Smp_155560.1	0	1	1.80618277737882	1.80687579734158	1027.78276318159	568.813139196267
transcript:Smp_155590.1	0	1	0.421468729164294	0.42088925987595	205.462517619779	488.176649572238
transcript:Smp_155620.1	0	1	2.09098555096327	2.09190638689511	1211.89470295453	579.320275267855
transcript:Smp_155630.1	2.92191030676348e-05	0.999970780896932	0.606116597907152	0.605899677671912	537.959703832597	887.875773268065
transcript:Smp_155700.1	0.586222177853566	0.413777822146434	0.831236991242873	0.831133273979587	661.271485757362	795.628324755126
