	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.m.1.SmLE.PZQ.ER.RNA.juv.m.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.juv.m.1.SmLE.PZQ.ES.RNA.juv.m.1_rsem.genes.results_Mean
gene:Smp_341100	3.30624416733372e-13	0.999999999999669	0.790672215227778	0.790621878145055	1505.38906009046	1904.05957068074
gene:Smp_341110	0.977656913213037	0.0223430867869632	0.940542817606349	0.94053300509267	2609.39846763155	2774.38329986559
gene:Smp_341120	0.999999999999982	1.83276692249152e-14	0.890240138200824	0.890131412890072	411.434251635096	462.21866160764
gene:Smp_341140	0.750684696017131	0.249315303982869	0.811076117030523	0.810789462417994	244.659594335493	301.757111779945
gene:Smp_341150	0.999999999999999	5.27980531442802e-16	1.08353711977781	1.08389542998299	115.694881650403	106.739118457136
gene:Smp_341160	0.884289956191898	0.115710043808102	0.915268494026076	0.915246279484383	1598.40489260614	1746.42145613946
gene:Smp_341170	0.967402035615958	0.0325979643840418	1.2108220021937	1.21136865307135	213.897588875224	176.573394603183
gene:Smp_341180	1	1.89942757929361e-16	0.968757287131327	0.968749570228251	1795.80333323585	1853.73361798451
gene:Smp_341190	0.975167086161088	0.0248329138389124	0.773601574201759	0.768959648330189	17.1620731569543	22.3215660246201
gene:Smp_341200	0.99248802949012	0.00751197050987993	1.06017294959605	1.06021486074647	696.952775878234	657.368802809388
gene:Smp_341210	0.982506637571241	0.0174933624287591	0.89029842761952	0.890040889348834	173.580124174912	195.026122780733
gene:Smp_341220	0.994452606750325	0.00554739324967494	0.949689978057724	0.949622231050284	322.883454431836	340.013057458033
gene:Smp_341230	0.987377374741677	0.0126226252583226	0.941984105159182	0.941968746616945	1629.20151148427	1729.57128105156
gene:Smp_341240	0.996603742297411	0.00339625770258863	0.976804932409789	0.976798281336688	1559.7320674292	1596.78034784417
gene:Smp_341250	0.999999999999984	1.56802575634301e-14	2.2869356372151	61.2121003032203	0.602121003032203	0
gene:Smp_341260	0.988257334723154	0.0117426652768464	1.05986370475222	1.05989409007311	956.096368901262	902.067271546355
gene:Smp_341270	0.708155277883712	0.291844722116288	0.810958719018777	0.810718869589074	292.561636025946	360.869272705519
gene:Smp_341280	0.992534817615519	0.00746518238448089	1.01369982158327	1.01381306542621	56.1467769267609	55.3816484624832
gene:Smp_341290	0.65379129990727	0.34620870009273	0.480788798804636	0.478680283914788	53.9605567694325	112.738652039824
gene:Smp_341300	0	1	1.14607476168811	1.14608785196626	5855.81646627984	5109.39453319823
gene:Smp_341310	0.996358111913845	0.00364188808615487	0.989846694404736	0.989842665346454	1142.11609695341	1153.83609790856
gene:Smp_341320	0.984042166042156	0.0159578339578443	1.12893938238567	1.12930038365977	184.67443882907	163.528808187203
gene:Smp_341330	0.997127163309099	0.00287283669090125	0.976619660042888	0.976615824855363	2726.0282939278	2791.30079442782
gene:Smp_341340	0.999999999999992	7.52601075784309e-15	1.30340864556388	1.7082142071493	0.576229660866199	0.333182756830311
gene:Smp_341350	0.999999999999999	6.98154110545873e-16	0.902515477385423	0.901529219623318	40.7908320583607	45.2473595733351
gene:Smp_341360	0.999507661730727	0.000492338269272863	1.03227475734678	1.03231511085282	378.030191181378	366.196197319992
gene:Smp_341370	0.999999999999908	9.20945573591468e-14	0.885441143115622	0.885351495685948	518.014776553216	585.096343726074
gene:Smp_341380	0.612972674144736	0.387027325855264	0.690236137841447	0.688922192195119	74.3548151283018	107.933706808678
gene:Smp_341390	0.167848222969958	0.832151777030042	0.768980319075559	0.768694284260242	284.25782826993	369.796090783538
gene:Smp_341400	0.959718729629221	0.0402812703707794	1.12856329061379	1.12860880906968	1459.53292398213	1293.2130479268
gene:Smp_341410	0.993150637612271	0.00684936238772949	0.943368011988688	0.9433468172307	1154.10400582778	1223.41492151064
