	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.adu.m.1.SmLE.PZQ.ER.RNA.adu.m.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.m.1.SmLE.PZQ.ES.RNA.adu.m.1_rsem.isoforms.results_Mean
transcript:Smp_065170.1	0.0538096814613283	0.946190318538672	0.789389344552927	0.78907444115852	291.937760902015	369.977602783556
transcript:Smp_065180.1	0.357772447991708	0.642227552008292	1.14575102138894	1.14579755569132	1985.30976098088	1732.68680243212
transcript:Smp_065190.1	1	1.33634080340332e-18	0.935460460420409	0.935396495038661	522.098519201587	558.158137223999
transcript:Smp_065210.1	0.994996156532606	0.00500384346739427	0.97567827681483	0.975674413725617	3398.18811172574	3482.91223709107
transcript:Smp_065240.1	0.975491126404273	0.0245088735957271	1.188056702395	1.18869805531282	192.807953179699	162.199362014104
transcript:Smp_065290.1	1	2.29987970724913e-19	0.986835864579418	0.986824537554264	634.444659429724	642.915500213189
transcript:Smp_065370.1	0.919897143775221	0.0801028562247788	1.65817615684809	1.6715913682975	45.3589697816291	27.1311845275541
transcript:Smp_065370.2	0.90123075234595	0.0987692476540497	2.02418615562265	2.05763809471539	34.8406409710048	16.9272063340542
transcript:Smp_065370.3	0.983727699855592	0.0162723001444079	1.065076801077	1.06527969717733	189.00676293911	177.423929736901
transcript:Smp_065420.1	0.989448461459532	0.0105515385404677	0.919601883660494	0.919504146184065	418.41981158186	455.050277126906
transcript:Smp_065420.2	0.987969708526959	0.0120302914730412	0.872728121855984	0.872574696100515	400.414804225025	458.89031651674
transcript:Smp_065470.1	0.978613593145296	0.0213864068547043	0.901392387720081	0.901365599662516	1835.48993407914	2036.34454333556
transcript:Smp_065470.2	0.954708242575683	0.0452917574243174	1.18606748328702	1.18683478734003	159.202599552186	134.138915460271
transcript:Smp_065530.1	0.949261333436044	0.0507386665639558	1.40859798257594	1.44575479152639	8.78501579060182	6.07333850397708
transcript:Smp_065580.1	0.990724021681906	0.00927597831809367	1.06981749662593	1.0698512169251	1225.39715928382	1145.38960313903
transcript:Smp_065610.1	7.49175849135142e-08	0.999999925082415	1.18958289551605	1.18958826425843	23238.454764087	19534.8706492922
transcript:Smp_065770.1	1	1.90001708671067e-17	1.11885558131003	1.1190380607558	403.203124552634	360.311188968588
transcript:Smp_065770.2	1	1.34088613423802e-17	1.2054501664443	1.20629947339411	161.418842384895	133.811531008954
transcript:Smp_065770.3	1	1.9674424449808e-18	1.21787301246954	1.22914868773101	13.1286116220499	10.6791963138353
transcript:Smp_065810.1	0.999999999999856	1.43930048118089e-13	1.37020537134749	1.37178865105114	177.432011245731	129.3408377619
transcript:Smp_065840.1	0.786500045269345	0.213499954730655	1.14805231264423	1.14814295453208	1037.43813234662	903.577944559941
transcript:Smp_065890.1	1.8326196127072e-05	0.999981673803873	0.801266004874383	0.801201580342262	1367.23663097455	1706.48517489778
transcript:Smp_065980.1	0.992020411885079	0.0079795881149207	1.02134152755157	1.02135674195317	792.550201049467	775.977633404003
transcript:Smp_066050.1	1	1.70772311066643e-18	0.860735734428804	0.858964341877752	37.3480491494175	43.481967393839
transcript:Smp_066200.1	0.970606137880726	0.0293938621192738	0.87127714256189	0.870992866759038	218.169805363082	250.485513441951
transcript:Smp_066260.1	0.981198126030515	0.0188018739694846	1.03728561155367	1.03746038549617	122.429144060374	118.008139075082
transcript:Smp_066330.1	0.00450636420216144	0.995493635797839	1.25106463226547	1.25146705967729	431.908274514365	345.119559083834
transcript:Smp_066330.3	1	6.48209861176737e-18	1.87608320657793	2.08834878743761	4.75818378149347	2.27323152251976
transcript:Smp_066340.1	0.983258553915597	0.0167414460844032	1.0661866567718	1.06630859582442	320.170377836934	300.259902250374
transcript:Smp_066410.1	0.98447082493169	0.0155291750683104	1.0906926686683	1.09071996352597	2004.87184994687	1838.11703259386
transcript:Smp_066410.2	0.990657066249084	0.00934293375091565	0.968151720645686	0.968119543932764	530.089580289074	547.545912501948
transcript:Smp_066430.1	0.160992998566096	0.839007001433904	1.16179441445891	1.16190628032638	929.643703404646	800.100748298483
transcript:Smp_066480.1	0.992231970740548	0.00776802925945209	1.03756231128481	1.03760964388153	455.512832866845	439.001757025319
transcript:Smp_066520.1	0.90139015560974	0.0986098443902603	1.6355007957052	1.73376634209406	6.19282555786843	3.56765946152618
transcript:Smp_066590.1	0.00171267314078727	0.998287326859213	0.689045741341354	0.68877975143053	445.436849024024	646.708850400108
transcript:Smp_066590.2	0.772585715964665	0.227414284035335	0.814418241862162	0.814294661221082	676.463211386685	830.737447579079
transcript:Smp_066610.1	0.919511879126161	0.0804881208738386	0.902541610762433	0.902489817137857	939.430782904769	1040.93336031857
transcript:Smp_066620.1	0.993759593192356	0.0062404068076439	1.00521102855523	1.00521401031868	971.825980677119	966.785101044224
transcript:Smp_066630.1	0.999999995490391	4.5096087379525e-09	1.18813537912087	1.18824530930614	1124.96739575005	946.745174995782
transcript:Smp_066670.1	0.890419905576674	0.109580094423326	1.16853130518762	1.168785495148	428.677853867236	366.770607431267
transcript:Smp_066730.1	0.991209405854193	0.00879059414580661	1.01388825068136	1.01391928383842	251.010473959138	247.564415400055
transcript:Smp_066740.1	0.982936790984067	0.0170632090159331	1.09460463113957	1.09467667757451	795.178226375138	726.403782868788
transcript:Smp_066760.1	0.997102123326925	0.0028978766730752	1.02244383204938	1.02244670906092	4412.44472397007	4315.57406405625
transcript:Smp_066820.1	1	5.26205886888982e-17	1.14796579073798	1.14833480890602	254.711893880415	221.808490482824
transcript:Smp_066830.1	0.961955343332607	0.0380446566673926	1.16773458390222	1.16820121029123	232.293175488794	198.845448395642
transcript:Smp_066890.1	0.991022517604304	0.00897748239569617	0.890435783517339	0.890418325280818	3091.32896843284	3471.77273477009
transcript:Smp_066900.1	1	1.73326171581006e-18	0.93490108852151	0.934849469969142	652.209481611052	697.663264587271
transcript:Smp_066930.1	1	1.38321080413593e-17	1.16086632339704	1.34592126898311	0.637244354164169	0.470893176354352
transcript:Smp_066940.1	0.832940498053633	0.167059501946367	0.762335763669922	0.762259825189916	1319.73230875927	1731.34493324794
transcript:Smp_066950.1	0.99507091534884	0.0049290846511604	0.971327328319573	0.971312572729931	1044.12048995561	1074.95857270262
transcript:Smp_066950.2	0.98540230419869	0.0145976958013098	1.00967758754365	1.00970208959503	220.608583623227	218.48868975879
transcript:Smp_066960.1	0.968908173847107	0.0310918261528934	1.04721715194428	1.04766923061032	60.52327049524	57.7689904739076
transcript:Smp_066960.2	0.999820693715574	0.000179306284426018	0.976000335287457	0.975989349425287	1179.49634543498	1208.51378781544
