	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.m.1.SmLE.PZQ.ER.RNA.juv.m.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.juv.m.1.SmLE.PZQ.ES.RNA.juv.m.1_rsem.isoforms.results_Mean
transcript:Smp_302410.1	0.993250997949647	0.00674900205035328	0.957806447643914	0.957790184668631	1280.58953883779	1337.02556304541
transcript:Smp_302450.1	1	6.08798541092622e-18	0.956630139314241	0.956545474777631	252.506047429673	263.977498857151
transcript:Smp_302460.1	0.0649816015655105	0.93501839843449	1.12440787233886	1.12441486660932	10306.9096345022	9166.4639951214
transcript:Smp_302470.1	0.995467480732698	0.00453251926730227	0.931669054247583	0.931598919434526	467.735517232134	502.078943508063
transcript:Smp_302480.1	1	3.20771035540301e-16	1.1215277356235	1.12168004156425	461.227303772596	411.192202661442
transcript:Smp_302610.1	0.992635089196909	0.00736491080309049	0.966242298250726	0.965799216531407	37.9103867651548	39.2532196382836
transcript:Smp_302650.1	0.993643995978973	0.00635600402102714	1.0196904184308	1.01971030677279	520.261510073351	510.20501559587
transcript:Smp_302650.3	0.982922029910636	0.0170779700893636	0.828957228093225	0.828713894125572	300.185016758638	362.232046243708
transcript:Smp_302740.1	0.82947969866254	0.17052030133746	1.1567673010397	1.15701377863578	379.229384120022	327.764302365852
transcript:Smp_302740.2	0.424252424167702	0.575747575832298	2.04260569826546	2.04765707575216	217.793255169169	106.357056158153
transcript:Smp_302740.3	0.967255833208451	0.0327441667915495	1.10226737462091	1.10233697067387	834.754055338105	757.257584727569
transcript:Smp_302740.4	0.845932764556748	0.154067235443252	2.2520307021035	2.26510298943203	111.791650959612	49.3483079803564
transcript:Smp_302800.1	0.991964653448559	0.00803534655144085	1.0470254622344	1.04705435144618	878.331648688474	838.859202420407
transcript:Smp_302830.1	1	1.91459138976115e-16	1.79474042107464	2.80955910772236	1.12389251802423	0.393583791815453
transcript:Smp_302850.1	0.979761933825147	0.0202380661748533	1.1935220032707	1.1943091021298	151.316392938223	126.696220917487
transcript:Smp_302850.2	0.940497711723802	0.059502288276198	1.37591545292755	1.40807355864308	8.47246220709912	6.01416127696726
transcript:Smp_302850.3	0.995488430831446	0.0045115691685545	0.977044402190729	0.977034015659012	1112.80919811299	1138.9669243217
transcript:Smp_302850.5	1	3.76044267056971e-18	1.00786843464492	1.00788022382017	346.655570971986	343.945127582539
transcript:Smp_302860.1	1	3.02887250251724e-18	1.01939616305919	1.01940567850513	1070.84482577165	1050.45974757093
transcript:Smp_302870.1	0.984165589483071	0.0158344105169289	1.06607233798472	1.06665951998406	61.8442613488184	57.9787585400659
transcript:Smp_302880.1	0.911861579896573	0.0881384201034267	1.15556823270819	1.15581638810983	373.397385010033	323.058083175985
transcript:Smp_302880.2	0.989426295420184	0.0105737045798164	0.931044490615089	0.930904256811405	235.884678152495	253.39380219175
transcript:Smp_302910.1	0.994721176364356	0.00527882363564379	1.01910930338772	1.01928377843411	57.5212109714973	56.4327808905979
transcript:Smp_302920.1	0.954197160071833	0.0458028399281671	1.06703112413734	1.06704816864667	2162.57354390391	2026.68720772465
transcript:Smp_302920.2	0.978442002612054	0.0215579973879461	1.38271025515371	1.383588602768	310.665867382266	224.533528878982
transcript:Smp_302920.3	0.996486322201411	0.00351367779858894	1.11340420947916	1.12839290197896	4.3896957108424	3.88908134225789
transcript:Smp_302930.1	0.909683098863213	0.0903169011367874	1.12462162828157	1.12465391537926	2237.06313832852	1989.11137123902
transcript:Smp_302950.1	0.996322989044145	0.00367701095585521	0.959668037598221	0.959662740547321	3765.55987427077	3923.83711333396
transcript:Smp_302950.2	0.999999999999979	2.1323853323582e-14	1.90448775731679	1.93331997902489	31.2454094693028	16.1567027747094
transcript:Smp_302950.3	0.819101516959914	0.180898483040086	1.23327060185465	1.23337841252586	1375.27109372058	1115.04202276413
transcript:Smp_302970.1	0.992208528347442	0.00779147165255802	1.04542645820903	1.04550071133929	329.611334233229	315.266049703478
transcript:Smp_302980.1	1	7.29833045249349e-18	1.00180585081122	1.00181664898928	86.3308855838958	86.174318928023
transcript:Smp_302990.1	0.656693744046949	0.343306255953051	0.528192302296321	0.516714597792414	10.9360539331033	21.1739456053085
transcript:Smp_303000.1	0.994426729680223	0.00557327031977708	0.999747582616672	0.999747101846703	270.49104843934	270.559474959896
transcript:Smp_303010.1	1	6.17893800167913e-18	1.01691893897562	1.01699154973187	122.109882636291	120.06954507438
transcript:Smp_303120.1	1	7.23429233357883e-18	1.00174060052731	1.00175038448788	91.8318883341537	91.671410615186
transcript:Smp_303250.1	0.120343912253909	0.879656087746091	0.662741462277116	0.662528337784746	540.284963759918	815.494685530083
transcript:Smp_303270.1	1	3.29963087532323e-17	0.792912911630874	0.78411567757162	9.50226371725737	12.1211995019874
transcript:Smp_303280.1	1	4.138622828206e-16	0.571692166326194	0.0247780019980899	0	0.393583791815453
transcript:Smp_303290.1	1	3.5394849103956e-17	1.20734884105469	1.22873069507047	6.13058616318467	4.98750367417368
transcript:Smp_303300.1	0.977435108490488	0.0225648915095117	1.12371932164822	1.12382919601132	652.126246970104	580.270570468052
transcript:Smp_303310.1	0.962913646091203	0.0370863539087969	1.30032517107409	1.30985883697246	21.2544017660905	16.2241171169559
transcript:Smp_303320.1	0.90306086646392	0.09693913353608	0.716667998225411	0.716620816540366	2217.71898264693	3094.6935467843
transcript:Smp_303330.1	1	2.392818486216e-16	2.52944798200609	81.3485677896664	0.803485677896664	0
