	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.m.1.SmLE.PZQ.ER.RNA.juv.m.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ER.RNA.adu.m.1.SmLE.PZQ.ER.RNA.adu.m.1_rsem.isoforms.results_Mean
transcript:Smp_344980.1	0.672469957439822	0.327530042560178	1.43281861439139	1.43305083564979	1531.73906437138	1068.86280357841
transcript:Smp_344980.2	0.105833723238497	0.894166276761503	2.42907297874762	2.43326452536592	475.753918225233	195.514947355933
transcript:Smp_344980.3	0	1	0.00475965086341641	8.19562019471899e-05	0	122.006391223738
transcript:Smp_344980.4	0.000170847839719657	0.99982915216028	3.28309136635732	3.28884394694278	748.548796719487	227.595447018952
transcript:Smp_344990.1	0.00693558413539386	0.993064415864606	1.8375380150596	1.83835339462553	1082.90851009952	589.059823715862
transcript:Smp_344990.3	0.120201949017049	0.879798050982951	1.87131466760254	1.87848452101773	130.90651617088	69.6826244033947
transcript:Smp_344990.4	0	1	0.134139471044419	0.131568849190666	25.4046945177476	193.156503120487
transcript:Smp_345000.1	1	3.49457777354072e-17	1.11159458567098	1.11170089820841	669.209624063577	601.968126618477
transcript:Smp_345000.2	0.94564577892554	0.0543542210744596	1.14699116432753	1.15606430970708	10.7308196628834	9.28084962894915
transcript:Smp_345000.3	1.26788988307203e-05	0.999987321101169	2.84411558697341	2.86509336873112	144.430647296505	50.4039407367636
transcript:Smp_345010.1	1.4432899320127e-15	0.999999999999999	1.68726586967595	1.68794752453271	975.97075793363	578.195627692021
transcript:Smp_345020.1	0.947642524345559	0.0523574756544407	0.998416463130944	0.998400710452141	57.547339840362	57.6395381441549
transcript:Smp_345030.1	0.854111123253726	0.145888876746274	0.893309030310565	0.893243672068634	836.207630465734	936.148471214428
transcript:Smp_345040.1	0.651481675314552	0.348518324685448	1.31997224808911	1.33787771189343	13.7008767591175	10.2382286962634
transcript:Smp_345050.1	0.907280424352623	0.092719575647377	1.05702140638055	1.06302044775953	5.78455055613248	5.44102454834745
transcript:Smp_345060.1	1	1.58833157047766e-16	0.532942421523284	0.0191809042202268	0	0.511351855219356
transcript:Smp_345070.1	0.210253408199076	0.789746591800924	1.66070416728858	1.67025609189033	66.2454023399564	39.6578106199698
transcript:Smp_345070.2	0.185023509694916	0.814976490305084	5.23061754158157	7.56840465522676	7.8446207471693	1.0278172289909
transcript:Smp_345080.1	0.931394240632488	0.068605759367512	1.54049601745093	1.54119989493377	678.687840815663	440.359768416593
transcript:Smp_345080.2	0	1	0.00184865994731836	3.17407474295864e-05	0	315.042442359273
transcript:Smp_345090.1	0.000978676708595083	0.999021323291405	0.633916267746498	0.632617677972674	102.265555372867	161.660403679874
transcript:Smp_345100.1	0.8869428022385	0.1130571977615	0.568169767798319	0.420407500870613	0.694599004664936	1.66599056440667
transcript:Smp_345110.1	0.999999999999999	1.37357426157077e-15	2.40931259748769	2.55837857435222	13.8612527028387	5.4118921475884
transcript:Smp_345120.1	0.761789117798955	0.238210882201045	0.833619850030395	0.829053731487365	17.3144349385363	20.8866370701394
transcript:Smp_345140.1	0	1	1.74815774513912	1.74876438243424	1236.84115737849	707.261471103968
transcript:Smp_345150.1	0.0031183947096235	0.996881605290377	0.364536336046038	0.362661747621269	70.4931647895334	194.394745612048
transcript:Smp_345150.2	0.530606779152299	0.469393220847701	2.00036254256676	2.17210575630682	7.24572599489769	3.33041101536162
transcript:Smp_345160.1	3.96968840675749e-05	0.999960303115932	1.69467528634843	1.69626513687891	425.041310611268	250.570703081213
