	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.adu.f.1.SmLE.PZQ.ER.RNA.adu.f.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.f.1.SmLE.PZQ.ES.RNA.adu.f.1_rsem.isoforms.results_Mean
transcript:Smp_340150.1	0.940827278167623	0.0591727218323769	1.11843563383535	1.11849607323815	1274.82135920339	1139.76276246722
transcript:Smp_340150.2	1	1.19674121756861e-17	0.538931527195852	0.0193736933144838	0	0.506163843293834
transcript:Smp_340160.1	0.95952774579593	0.0404722542040704	0.737191575816365	0.734710728149383	45.2601168890526	61.6062458973216
transcript:Smp_340170.1	0.831842812271145	0.168157187728855	0.799253138441901	0.798037854308889	76.6644163837984	96.0686709174335
transcript:Smp_340170.2	0.803636403366888	0.196363596633112	0.632311510203392	0.631801048021836	264.689337740445	418.949953563257
transcript:Smp_340170.3	0.924607952335847	0.0753920476641534	0.82353745327341	0.81861303644246	17.0520984030154	20.8326907995066
transcript:Smp_340170.4	1	1.85741660583609e-19	1.07686366814442	1.07770522054811	57.2427007593979	53.1146389715729
transcript:Smp_340170.6	0.00910584439264217	0.990894155607358	0.520404666379309	0.517252499236982	45.7645790322399	88.4856169371122
transcript:Smp_340180.1	1	4.25196746341602e-18	1.96906433844562	4.32709826323094	1.02432106735043	0.229033413255128
transcript:Smp_340190.1	0.970172409948651	0.0298275900513492	0.85467177990413	0.854022617351568	111.194386324928	130.202460496406
transcript:Smp_340200.1	0.999003052128278	0.000996947871721747	1.15213454721792	1.17131857424135	5.39280320798555	4.6025822016311
transcript:Smp_340210.1	0.99197320735847	0.00802679264152972	1.18052723910853	1.18062453199652	1274.16622897351	1079.22916066591
transcript:Smp_340220.1	0.981028131732194	0.0189718682678061	0.908235589336341	0.908152508694966	583.420697891833	642.426917044071
transcript:Smp_340230.1	0.137349593200609	0.862650406799391	1.15769666282545	1.15777642809308	1331.33137649696	1149.90231829599
transcript:Smp_340240.1	0.19415019908804	0.80584980091196	1.18407345782117	1.18422157503371	855.991763691061	722.829189673345
transcript:Smp_340250.1	0.945910544181715	0.0540894558182845	0.906596659981955	0.906533195766012	776.010598936367	856.021089165617
transcript:Smp_340260.1	1	5.582047168512e-20	0.97221046756434	0.972195724816146	1065.88039570079	1096.36428811195
transcript:Smp_340260.2	0.903050281612006	0.0969497183879936	1.21699868281647	1.21792694726163	165.590891768142	135.959478416153
transcript:Smp_340270.1	0.953967822124995	0.0460321778750054	1.0991516991944	1.10133830136254	29.0373942946252	26.3646337148982
transcript:Smp_340280.1	0.901320072982772	0.0986799270172281	0.51555741810733	0.462901475210917	2.46707713804082	5.3411973296524
transcript:Smp_340290.1	0.00101291588308727	0.998987084116913	1.30152706482348	1.30172599985957	1147.59029834868	881.588968194908
transcript:Smp_340300.1	0.83725156192019	0.16274843807981	1.60546753525364	1.60711490606404	343.549905303773	213.764325661119
transcript:Smp_340300.2	0.700312795898721	0.299687204101279	0.737332194136865	0.73691412008166	269.28392582349	365.424612371993
transcript:Smp_340310.1	0.977968833659627	0.0220311663403731	1.10371422610418	1.10374126345931	2462.6102979037	2231.14722808572
transcript:Smp_340320.1	0.000717027041201912	0.999282972958798	2.79242489658927	2.90563079025818	26.7489094052269	9.19932882971315
transcript:Smp_340340.1	0.951280661166233	0.0487193388337672	1.17074704330868	1.17408382686359	34.9346191320023	29.7533084899502
transcript:Smp_340350.1	0.57271745306952	0.42728254693048	0.809395549993987	0.808867708513558	169.878142361262	210.022049212921
transcript:Smp_340360.1	0.806725313859608	0.193274686140392	1.20708776807553	1.2071959618739	1343.94864027618	1113.27954264392
transcript:Smp_340370.1	0.940046733602103	0.0599532663978972	1.22140633516248	1.22288429624608	106.543682289877	87.123085784949
transcript:Smp_340370.2	0.396571458355966	0.603428541644034	1.22291015972493	1.22303504338466	1269.74285161572	1038.18825808242
transcript:Smp_340380.1	1.19904086659517e-13	0.99999999999988	1.39741848444751	1.39779471684262	858.78858520355	614.385357812933
transcript:Smp_340380.2	0.922959876605381	0.0770401233946185	1.31461944422409	1.32241797515363	31.0211274135869	23.455445870079
transcript:Smp_340390.1	0.513809026437522	0.486190973562478	0.833702392576159	0.833388258051258	256.600107244269	307.901834328347
transcript:Smp_340400.1	1	7.59466814627921e-18	1.06870226833114	1.23587618342368	0.285415702484485	0.229033413255128
transcript:Smp_340410.1	0.86343520848441	0.13656479151559	1.14391667557309	1.14414245944048	424.174078529279	370.734110603778
